"Time","ph","Pi"
4.02402402,6.59230632326746,15.1915735664613
4.03903904,6.59103336135545,15.2070579174223
4.05405405,6.58976386102856,15.2225228012307
4.06906907,6.58849781288185,15.237968935577
4.08408408,6.58723520753592,15.2533970244623
4.0990991,6.5859760356368,15.2688077583845
4.11411411,6.58472028785594,15.284201814524
4.12912913,6.58346795489011,15.2995798569281
4.14414414,6.5822190274613,15.3149425366939
4.15915916,6.58097349631673,15.33029049215
4.17417417,6.57973135222871,15.3456243490374
4.18918919,6.5784925859946,15.3609447206884
4.2042042,6.57725718843674,15.3762522082053
4.21921922,6.5760251504024,15.3915474006365
4.23423423,6.57479646276367,15.4068308751523
4.24924925,6.57357111641742,15.4221031972194
4.26426426,6.57234910228526,15.4373649207733
4.27927928,6.57113041131341,15.4526165883902
4.29429429,6.56991503447269,15.467858731457
4.30930931,6.5687029627584,15.4830918703406
4.32432432,6.56749418719032,15.4983165145552
4.33933934,6.56628869881258,15.5135331629283
4.35435435,6.56508648869364,15.5287423037659
4.36936937,6.56388754792619,15.5439444150159
4.38438438,6.56269186762711,15.5591399644298
4.3993994,6.56149943893738,15.5743294097235
4.41441441,6.56031025302205,15.5895131987367
4.42942943,6.55912430107014,15.6046917695905
4.44444444,6.55794157429458,15.6198655508436
4.45945946,6.55676206393218,15.6350349616474
4.47447447,6.5555857612435,15.6502004118994
4.48948949,6.55441265751285,15.665362302395
4.5045045,6.55324274404821,15.6805210249783
4.51951952,6.55207601218113,15.6956769626907
4.53453453,6.55091245326671,15.7108304899188
4.54954955,6.5497520586835,15.72598197254
4.56456456,6.54859481983348,15.7411317680673
4.57957958,6.54744072814194,15.7562802257924
4.59459459,6.54628977505747,15.7714276869266
4.60960961,6.54514195205186,15.7865744847413
4.62462462,6.54399725062007,15.8017209447064
4.63963964,6.54285566228013,15.8168673846266
4.65465465,6.54171717857311,15.8320141147773
4.66966967,6.54058179106303,15.8471614380383
4.68468468,6.53944949133682,15.8623096500257
4.6996997,6.53832027100424,15.8774590392231
4.71471471,6.53719412169784,15.8926098871102
4.72972973,6.53607103507289,15.9077624682909
4.74474474,6.53495100280728,15.9229170506189
4.75975976,6.53383401660154,15.9380738953222
4.77477477,6.53272006817869,15.9532332571265
4.78978979,6.53160914928424,15.9683953843759
4.8048048,6.53050125168611,15.983560519153
4.81981982,6.52939636717455,15.9987288973974
4.83483483,6.52829448756213,16.0139007490219
4.84984985,6.52719560468363,16.0290762980277
4.86486486,6.52609971039598,16.0442557626185
4.87987988,6.52500679657823,16.0594393553119
4.89489489,6.5239168551315,16.0746272830503
4.90990991,6.52282987797886,16.0898197473097
4.92492492,6.52174585706533,16.105016944207
4.93993994,6.52066478435778,16.1202190646063
4.95495495,6.51958665184492,16.135426294223
4.96996997,6.51851145153718,16.1506388137265
4.98498498,6.51743917546669,16.1658567988418
5,6.51636981568721,16.1810804204494
5.01501502,6.51530336427408,16.1963098446833
5.03003003,6.51423981332414,16.2115452330283
5.04504505,6.51317915495571,16.226786742415
5.06006006,6.51212138130848,16.2420345253138
5.07507508,6.5110664845435,16.2572887298274
5.09009009,6.51001445684309,16.2725494997819
5.10510511,6.50896529041081,16.287816974816
5.12012012,6.50791897747137,16.3030912904693
5.13513514,6.50687551027059,16.3183725782691
5.15015015,6.50583488107536,16.3336609658155
5.16516517,6.50479708217354,16.348956576865
5.18018018,6.50376210587396,16.3642595314134
5.1951952,6.50272994450629,16.3795699457768
5.21021021,6.50170059042106,16.3948879326711
5.22522523,6.50067403598955,16.4102136012903
5.24024024,6.49965027360376,16.4255470573837
5.25525526,6.49862929567634,16.4408884033315
5.27027027,6.49761109464054,16.4562377382193
5.28528529,6.49659566295016,16.4715951579106
5.3003003,6.49558299307948,16.486960755119
5.31531532,6.49457307752322,16.5023346194788
5.33033033,6.49356590879647,16.5177168376134
5.34534535,6.49256147943465,16.5331074932042
5.36036036,6.49155978199343,16.5485066670563
5.37537538,6.49056080904871,16.5639144371649
5.39039039,6.48956455319654,16.5793308787786
5.40540541,6.48857100705308,16.5947560644633
5.42042042,6.48758016325452,16.6101900641632
5.43543544,6.48659201445705,16.6256329452622
5.45045045,6.4856065533368,16.6410847726429
5.46546547,6.4846237725898,16.6565456087452
5.48048048,6.4836436649319,16.6720155136233
5.4954955,6.48266622309871,16.6874945450023
5.51051051,6.48169143984558,16.7029827583324
5.52552553,6.48071930794754,16.7184802068437
5.54054054,6.47974982019922,16.7339869415984
5.55555556,6.47878296941481,16.7495030115429
5.57057057,6.47781874842804,16.7650284635585
5.58558559,6.47685715009206,16.7805633425109
5.6006006,6.47589816727944,16.7961076912994
5.61561562,6.47494179288212,16.811661550904
5.63063063,6.47398801981131,16.8272249604325
5.64564565,6.47303684099749,16.8427979571661
5.66066066,6.47208824939031,16.8583805766043
5.67567568,6.4711422379586,16.8739728525086
5.69069069,6.47019879969024,16.8895748169457
5.70570571,6.46925792759218,16.905186500329
5.72072072,6.46831961469035,16.9208079314603
5.73573574,6.4673838540296,16.9364391375695
5.75075075,6.46645063867369,16.9520801443544
5.76576577,6.46551996170519,16.967730976019
5.78078078,6.46459181622547,16.983391655311
5.7957958,6.46366619535463,16.9990622035589
5.81081081,6.46274309223144,17.014742640708
5.82582583,6.46182250001331,17.0304329853553
5.84084084,6.46090441187622,17.0461332547843
5.85585586,6.45998882101468,17.0618434649986
5.87087087,6.45907572064169,17.0775636307546
5.88588589,6.45816510398867,17.0932937655938
5.9009009,6.45725696430543,17.1090338818742
5.91591592,6.45635129486008,17.1247839908011
5.93093093,6.45544808893905,17.140544102457
5.94594595,6.45454733984696,17.1563142258306
5.96096096,6.45364904090663,17.1720943688461
5.97597598,6.45275318545902,17.1878845383906
5.99099099,6.45185976686316,17.2036847403417
6.00600601,6.4509687784961,17.2194949795938
6.02102102,6.4500802137529,17.2353152600847
6.03603604,6.44919406604653,17.2511455848204
6.05105105,6.44831032880787,17.2669859559003
6.06606607,6.44742899548562,17.2828363745412
6.08108108,6.44655005954627,17.298696841101
6.0960961,6.44567351447406,17.3145673551019
6.11111111,6.44479935377091,17.3304479152526
