"Force","Time","pH"
0.807398878438315,-3.42591798828404,7.5
0.808679803882896,-3.42391770252893,7.5
0.809952406409898,-3.42191741677382,7.5
0.811216764502021,-3.41991713101872,7.5
0.812472922845345,-3.41791684526361,7.5
0.81372092317511,-3.4159165595085,7.5
0.814960842685535,-3.41391627375339,7.5
0.81619269381243,-3.41191598799829,7.5
0.817416575798164,-3.40991570224318,7.5
0.818632495008465,-3.40791541648807,7.5
0.819840542005762,-3.40591513073296,7.5
0.821040734754462,-3.40391484497785,7.5
0.822233144398583,-3.40191455922275,7.5
0.82341781615275,-3.39991427346764,7.5
0.824594786545028,-3.39791398771253,7.5
0.825764131317412,-3.39591370195742,7.5
0.826925861540854,-3.39391341620231,7.5
0.828080070684458,-3.39191313044721,7.5
0.829226765227129,-3.3899128446921,7.5
0.830366030294434,-3.38791255893699,7.5
0.831497883904307,-3.38591227318188,7.5
0.832622392321996,-3.38391198742678,7.5
0.833739599169726,-3.38191170167167,7.5
0.834849538377522,-3.37991141591656,7.5
0.835952282086243,-3.37791113016145,7.5
0.837047840695911,-3.37591084440634,7.5
0.838136302474554,-3.37391055865124,7.5
0.839217673678369,-3.37191027289613,7.5
0.840292034867139,-3.36990998714102,7.5
0.841359402794181,-3.36790970138591,7.5
0.842419840657281,-3.3659094156308,7.5
0.843473389006735,-3.3639091298757,7.5
0.844520081056236,-3.36190884412059,7.5
0.84555998387599,-3.35990855836548,7.5
0.846593107696332,-3.35790827261037,7.5
0.847619536060309,-3.35590798685527,7.5
0.848639274768628,-3.35390770110016,7.5
0.849652400492085,-3.35190741534505,7.5
0.850658927811096,-3.34990712958994,7.5
0.85165891817158,-3.34790684383483,7.5
0.852652408058534,-3.34590655807973,7.5
0.853639431296462,-3.34390627232462,7.5
0.854620048929739,-3.34190598656951,7.5
0.855594271372701,-3.3399057008144,7.5
0.856562177843879,-3.33790541505929,7.5
0.857523773533093,-3.33590512930419,7.5
0.858479131748859,-3.33390484354908,7.5
0.859428264300937,-3.33190455779397,7.5
0.860371231820206,-3.32990427203886,7.5
0.861308066100391,-3.32790398628375,7.5
0.862238802481976,-3.32590370052865,7.5
0.86316349541632,-3.32390341477354,7.5
0.864082155742587,-3.32190312901843,7.5
0.864994858695211,-3.31990284326332,7.5
0.865901608755812,-3.31790255750822,7.5
0.866802476281132,-3.31590227175311,7.5
0.867697469946792,-3.313901985998,7.5
0.868586650216676,-3.31190170024289,7.5
0.869470043843695,-3.30990141448778,7.5
0.870347687832696,-3.30790112873268,7.5
0.871219631075593,-3.30590084297757,7.5
0.872085883681518,-3.30390055722246,7.5
0.872946517629778,-3.30190027146735,7.5
0.873801536639814,-3.29989998571224,7.5
0.87465100783669,-3.29789969995714,7.5
0.875494938375194,-3.29589941420203,7.5
0.876333387179816,-3.29389912844692,7.5
0.877166376419841,-3.29189884269181,7.5
0.877993944771733,-3.28989855693671,7.5
0.878816134650403,-3.2878982711816,7.5
0.879632960114692,-3.28589798542649,7.5
0.880444484880191,-3.28389769967138,7.5
0.881250713748518,-3.28189741391627,7.5
0.882051710669271,-3.27989712816117,7.5
0.882847481802437,-3.27789684240606,7.5
0.883638084212853,-3.27589655665095,7.5
0.884423535689939,-3.27389627089584,7.5
0.885203876737649,-3.27189598514073,7.5
0.885979143360183,-3.26989569938563,7.5
0.886749353744451,-3.26789541363052,7.5
0.887514563413966,-3.26589512787541,7.5
0.888274778306711,-3.2638948421203,7.5
0.889030059399999,-3.2618945563652,7.5
0.889780411877706,-3.25989427061009,7.5
0.890525891103768,-3.25789398485498,7.5
0.891266510601395,-3.25589369909987,7.5
0.892002312745589,-3.25389341334476,7.5
0.892733327341859,-3.25189312758966,7.5
0.893459576623534,-3.24989284183455,7.5
0.894181108235104,-3.24789255607944,7.5
0.894897929225816,-3.24589227032433,7.5
0.895610097780145,-3.24389198456922,7.5
0.896317618139414,-3.24189169881412,7.5
0.897020544087477,-3.23989141305901,7.5
0.897718885056144,-3.2378911273039,7.5
0.898412685252575,-3.23589084154879,7.5
0.899101968565192,-3.23389055579368,7.5
0.899786761105446,-3.23189027003858,7.5
0.900467103022021,-3.22988998428347,7.5
0.901143002426353,-3.22788969852836,7.5
0.901814514870154,-3.22588941277325,7.5
0.902481643696134,-3.22388912701815,7.5
0.903144441066681,-3.22188884126304,7.5
0.903802912938096,-3.21988855550793,7.5
0.904457104852384,-3.21788826975282,7.5
0.90510703524275,-3.21588798399771,7.5
0.905752733136181,-3.21388769824261,7.5
0.906394232803068,-3.2118874124875,7.5
0.907031544185897,-3.20988712673239,7.5
0.907664718045291,-3.20788684097728,7.5
0.908293757889078,-3.20588655522217,7.5
0.908918713580926,-3.20388626946707,7.5
0.909539590083651,-3.20188598371196,7.5
0.91015643189714,-3.19988569795685,7.5
0.91076925310315,-3.19788541220174,7.5
0.911378085272474,-3.19588512644664,7.5
0.911982956541326,-3.19388484069153,7.5
0.912583881356519,-3.19188455493642,7.5
0.913180902857943,-3.18988426918131,7.5
0.913774025800604,-3.1878839834262,7.5
0.914363297861364,-3.1858836976711,7.5
0.914948723080176,-3.18388341191599,7.5
